tau,mode1_score,oe_fitted_score,oe_first_derivative,oe_second_derivative,oe_third_derivative,true_clean_score_reference
0.05,1.5733477752979448,1.481562379917854,-4.935643052539779,-128.9958571637224,487.9091887100055,0.15317655535747585
0.060000000000000005,1.507119189184623,1.4258421037426092,-6.199358795630171,-123.5646984525946,597.4491969147449,0.1573204905098042
0.07,1.4290118478052276,1.3577742586121002,-7.403377177459984,-117.06589359032567,701.284899923593,0.15352060512710694
0.08,1.286454965449221,1.278008211816529,-8.537322069486915,-109.56099709678641,798.523669781358,0.1418566527111885
0.09,1.198841951478197,1.1872938679132867,-9.591476521902974,-101.12018731477336,888.3345994621322,0.12247214626412925
0.1,1.101502616126357,1.0864746563377656,-10.55686579532234,-91.82161330212955,969.9555816273468,0.09558880825887389
0.11,0.9277868375060054,0.9764797225067482,-11.425333517792833,-81.75067406247942,1042.6997525978782,0.06151343351125018
0.12000000000000001,0.8094364867131554,0.8583153944360724,-12.189610323186194,-70.99923673887433,1105.9612472652095,0.0206402168409599
0.13,0.6742393501571715,0.7330560029937218,-12.84337439587619,-59.66480090629453,1159.220216957973,-0.026549949672175926
0.14,0.5721160227645635,0.6018341392958623,-13.381303420262023,-47.84961654564942,1202.0470689694228,-0.07949239194872225
0.15000000000000002,0.45726770069135947,0.4658304373820658,-13.79911751147013,-35.659763659986574,1234.1058934779542,-0.13754329345747235
0.16,0.3267792501054645,0.3262629741391718,-14.093612784766975,-23.204201799996003,1255.1570508933992,-0.19998573826230429
0.16999999999999998,0.15889697427784605,0.18437638145037535,-14.262685305110542,-10.593797998168968,1265.0589001710396,-0.26603692526061984
0.18,0.012814043230222338,0.04143076770396924,-14.305345244107489,2.059658232612113,1263.7686562860572,-0.33485636922292017
0.19,-0.10005635022857036,-0.10130945291095257,-14.22172115866253,14.64444410079322,1251.3423727854506,-0.4055549304741553
0.2,-0.23424609528098428,-0.24258672447449942,-14.013054393034524,27.04988820075956,1227.9340530639486,-0.47720452940073366
0.21000000000000002,-0.38072961700403485,-0.38116140837745316,-13.681683693077233,39.167341977797754,1193.7939016769085,-0.548848409749996
0.22000000000000003,-0.4960937816964217,-0.5158226402586696,-13.231020207376384,50.891129481816954,1149.2657345393457,-0.6195118189272402
0.22999999999999998,-0.5904304401058043,-0.6453988899321175,-12.66551313404479,62.119467123617106,1094.7835742001128,-0.6882129759562241
0.24,-0.7492152206451347,-0.7687681323945398,-11.990606353370636,72.75534544502558,1030.867463459954,-0.7539741995182467
0.25,-0.8358514018389473,-0.8848675418002498,-11.212686464623562,82.70736528099151,958.1185373603264,-0.8158330701794105
0.26,-0.922180146843434,-0.9927026248468069,-10.339022719432627,91.89052112423079,877.2133999481521,-0.8728535029655637
0.27,-1.0315857075195327,-1.0913557152909148,-9.377699413623324,100.22692499716621,788.8978581654354,-0.9241366091052088
0.28,-1.125548643533007,-1.1799937572585788,-8.337541363642687,107.64646468711545,693.9800706711675,-0.968831229187613
0.29,-1.1931247707351584,-1.2578753115721821,-7.228033152167334,114.08739080384784,593.3231743300532,-1.0061440242641193
0.3,-1.2795318652617516,-1.324356726429523,-6.05923287968612,119.4968277682443,487.83745545695524,-1.0353490165955856
0.31,-1.3160266912069007,-1.3788974213709515,-4.841681204342591,123.83120453092916,378.4721366515135,-1.0557964778239932
0.32,-1.3895084699342992,-1.4210642414917383,-3.586306490737161,127.05660154416454,266.20685316349926,-1.0669210693016693
0.33,-1.423165053075325,-1.4505348472251982,-2.3043269194157046,129.1490112624738,152.0428951713588,-1.0682491471071822
0.33999999999999997,-1.4376419589720206,-1.467100113662767,-1.0071504321653666,130.09451022065477,36.99429411515652,-1.059405152856804
0.35,-1.4564649913953662,-1.470665522212941,0.2937265961762604,129.8893415251535,-77.92116771204282,-1.040117020715387
0.36,-1.4408449980880986,-1.461251536353016,1.5868210610207618,128.53990738919833,-191.6909447499147,-1.0102205409408649
0.37,-1.4102807408257447,-1.4389929622165727,2.8607643083395558,126.06267213660921,-303.31663371186045,-0.9696626307739971
0.38,-1.3881349987569176,-1.4041373037062137,4.1044019020829925,122.4839768867961,-411.822718898855,-0.9185034744139356
0.39,-1.3336002027469358,-1.357042130646497,5.306891104814163,117.83976790722468,-516.2650808284619,-0.8569175050997513
0.4,-1.303468370740397,-1.2981714871189725,6.457795221311827,112.17524137279244,-615.7391941130825,-0.7851932138430188
0.41,-1.243587188234123,-1.2280913754744947,7.547173985946959,105.54440799756655,-709.3879435567378,-0.7037317810188354
0.42,-1.1624761589462567,-1.1474643595249734,8.565669212784865,98.0095816968937,-796.4089910889396,-0.6130445387125688
0.43,-1.0465407892243104,-1.0570433380082356,9.504584972246077,89.6407970910296,-876.0616303829651,-0.5137492833268832
0.44,-0.9719516365714475,-0.9576645465304554,10.355961609350869,80.51516126955192,-947.6730707744377,-0.40656546936878124
0.45,-0.8459900592076104,-0.8502398527598821,11.112642975598437,70.71614579373421,-1010.6440973603956,-0.2923083264516035
0.46,-0.7422878871316418,-0.7357484156175947,11.768336308866026,60.33282541704897,-1064.4540598705764,-0.1718819522574011
0.47,-0.6379515392523828,-0.6152277845355149,12.31766426278526,49.45907044782541,-1108.6651490093475,-0.04627144440959947
0.48,-0.46886817864847324,-0.4897645194844999,12.756208658251987,38.192700059129,-1142.9259254131275,0.08346585619172879
0.49,-0.382981776488867,-0.36048441637800943,13.080545604408414,26.63460416605267,-1166.9740730961248,0.21620992910982398
0.5,-0.21035223676274645,-0.2285424255980238,13.288271713929522,14.887841737293497,-1180.6383562062872,0.35078835559117755
0.51,-0.11043434620954666,-0.09511235374499347,13.378021217055446,3.0567235842352454,-1183.8397650213956,0.4859872203899951
0.52,0.022759561127237513,0.03862355973500681,13.349473859827444,-8.754112224505578,-1176.591844318944,0.620562530963353
0.53,0.17125969974035324,0.17148509865557998,13.203353553687345,-20.44062414262821,-1159.0002044889102,0.7532520454261432
0.54,0.3126801020384609,0.30230446661768484,12.941417825266138,-31.900281979109796,-1131.2612229618828,0.8827873963098699
0.55,0.44036516967775224,0.42993653254331476,12.566438196096373,-43.03296475526758,-1093.6599506328125,1.007906393897206
0.56,0.566568010922892,0.5532688354949229,12.082171701425787,-53.7418337383215,-1046.5672449107112,1.1273653907357097
0.5700000000000001,0.7215509518853169,0.6712312615405549,11.493323834590582,-63.934173054021294,-990.4361577561991,1.2399515878898622
0.5800000000000001,0.8079353241718418,0.7828053086641468,10.805503277854434,-73.52219059705236,-925.797613523511,1.3444951635805031
